row ID,row m/z,row retention time,G95984_repeat_RG10_01_31635.mzXML Peak area,G95983_RA9_01_31462.mzXML Peak area,G95982_repeat_RB8_01_31543.mzXML Peak area,G95952_BA6_01_31659.mzXML Peak area,G96383_RA9_01_31737.mzXML Peak area,G96108_RC5_01_31487.mzXML Peak area,G96130_RE9_01_31521.mzXML Peak area,G95953_BB6_01_31682.mzXML Peak area,G96194_RD5_01_31500.mzXML Peak area,G96107_repeat_RD4_01_31616.mzXML Peak area,G96384_RB6_01_31763.mzXML Peak area,G96385_RB3_01_31754.mzXML Peak area,G96195_RG6_01_31579.mzXML Peak area,G96109_repeat_RB11_01_31549.mzXML Peak area,G96196_RC6_01_31488.mzXML Peak area,G96176_repeat_RE2_01_31625.mzXML Peak area,G95954_RF12_01_31571.mzXML Peak area,G96128_repeat2_BB7_01_31703.mzXML Peak area,G96177_repeat_RG12_01_31637.mzXML Peak area,G96129_RF11_01_31570.mzXML Peak area,G96178_repeat2_RH10_01_31679.mzXML Peak area,
2421,1077.8381310887526,5.239207936507937,7675.060000000014,3142.590000000016,29042.46450000004,6594.420999999955,365.2739999999984,44143.272000000004,22289.876999999906,29533.362499999923,30903.550499999947,18307.84649999988,446.3235,313.24800000000323,17861.00049999984,41426.021500000046,22796.845499999734,38088.24900000022,25078.92749999998,6920.78999999997,21370.366499999902,32982.19350000004,33512.38949999984,
2422,407.3167330070247,9.190876315789474,2012.6810000000035,20155.248499999874,11778.202499999941,11171.839499999904,0,10826.165499999934,8348.515499999916,5027.7839999999715,76748.02499999962,410.7805000000029,2472.5299999999875,763.2980000000291,8270.237999999925,2799.0204999999805,13750.56649999985,0,20899.642000000033,3276.511000000064,186.09749999999792,8165.408499999921,363.2499999999933,
2447,527.613624211064,3.2028477777777775,727.8759999999983,902.475499999998,648.3510000000033,0,0,7933.232000000004,22725.395999999884,0,20510.892499999936,32521.766499999972,0,0,16419.52700000008,21686.72450000001,31491.463500000067,44339.05450000002,0,27573.505999999998,40525.18199999997,30032.976500000022,49298.53150000033,
2460,963.5375647216014,5.1364285714285725,33045.557999999815,29924.64399999989,21747.70349999995,17349.122500000085,6833.485999999984,30563.063000000235,33588.66300000038,21285.4729999999,26599.277499999942,33918.998999999916,5814.474999999986,2209.442499999982,15351.23349999986,39018.85000000005,16495.77749999984,28888.38799999987,25295.033500000227,26307.080999999722,29747.61099999963,31507.73649999978,40777.66949999993,
2520,416.7473576737892,3.541767460317461,28719.437999999824,39665.0364999999,50011.25600000001,5360.518000000045,542.552500000004,1185381.5205000055,1244481.4004999995,4793.344500000011,776009.0335000001,1669969.2234999908,551.1579999999983,199.53099999999876,598466.2829999961,1432189.8455000008,360784.44449999795,822151.7305000027,4321.0695000000005,850388.2959999999,757579.4089999971,1183690.9930000077,935376.5419999962,
2521,813.4225454932348,4.013939682539681,51626.41099999961,29460.426999999767,46788.02849999963,32877.65700000008,3403.732500000008,453512.2014999992,628066.4009999995,35444.97599999999,320323.53349999816,667724.6570000021,4104.253999999975,1473.634999999997,347164.41949999885,533649.879000003,361886.83750000136,687822.0045000068,35770.383999999896,612069.1735000042,801887.6439999996,738498.7314999965,709693.0394999969,
2522,723.1954465021721,0.2503984126984127,1113431.9574999998,1742100.7395000001,2770742.8745,1187037.5160000003,1294565.5489999999,1626174.7870000002,1913116.0925,2498027.648499999,1402344.9865,2335262.8365,1024698.6935,997822.9475,1511879.6225,1947963.781,1419453.5739999998,2179509.7189999996,2096876.5215000003,1532215.8490000004,858274.859,1829783.0345,2179315.6149999998,
2524,748.3873562105371,3.75205462962963,4439.735999999977,2230.307999999992,3410.438499999988,5802.800000000025,0,218672.90399999873,211246.34250000035,12728.479000000081,311213.5134999984,386763.26749999926,0,0,242054.8855000011,230405.07799999753,285555.70350000047,464788.511999998,8724.500499999991,298547.1314999984,368233.87949999835,180404.20350000067,692368.936000003,
2526,556.7637615252876,3.299761111111111,2856.9150000000072,1443.1970000000028,1741.9419999999798,1156.127499999999,0,43434.25500000005,174917.88900000005,1496.2900000000054,221760.35799999812,108857.42950000035,0,0,195906.74650000047,58730.82149999986,159129.03049999982,400177.63950000156,2384.542999999999,130472.21200000004,257305.1324999996,204602.66149999996,416902.73750000075,
2527,568.7650658696382,4.010063333333333,2844.200999999982,2233.3949999999895,3076.8199999999892,1273.0695000000037,428.29549999999927,142712.0284999999,215110.37199999997,2038.7625000000007,307644.774999999,135324.7035000004,284.9874999999995,0,267653.5149999991,130644.78699999997,286066.92550000077,350959.4700000023,1434.4799999999982,186969.06350000063,386147.2659999992,258539.39900000053,279419.28549999907,
2528,465.25443724340164,3.94818245614035,1988.5780000000082,2016.7464999999966,2777.4994999999967,18077.13800000007,0,146037.35600000047,159019.02700000026,26962.94800000005,515009.9025,72706.18199999987,204.87499999999824,0,422597.76249999896,111191.9340000006,442960.5419999995,595462.7954999973,23725.605000000007,204988.18399999864,557763.1960000002,207236.50549999927,530236.3260000013,
2529,1056.5561201898022,4.182134126984128,3804.366000000007,3457.9900000000107,4410.161999999998,4630.785999999987,314.39999999999543,156018.93099999917,174304.1014999997,4785.815999999969,147676.11949999855,371249.31499999954,271.65899999999937,173.36299999999892,106277.60050000025,255148.91300000084,118519.41800000014,370390.1209999978,4669.798999999978,322647.019999999,234860.7779999992,183301.07500000205,472950.40599999955,
